"unlist.xx."
"1770685_at"	"YGR198W"
"1770686_at"	"YIL042C"
"1770687_at"	"YLR364W"
"1770690_at"	"YDL033C"
"1770692_at"	"YML123C"
"1770695_at"	"YCR083W"
"1770696_at"	"YHR011W"
"1770697_at"	"YOR090C"
"1770699_at"	"YDR192C"
"1770700_at"	"YPL258C"
"1770701_at"	"YJL140W"
"1770705_at"	"YDR416W"
"1770706_at"	"YAL042W"
"1770707_at"	"YGR205W"
"1770708_at"	"YPL178W"
"1770709_at"	"YER007C-A"
"1770710_at"	"YLL033W"
"1770713_at"	"YKL190W"
"1770716_at"	"YBR197C"
"1770717_at"	"YMR044W"
"1770718_at"	"YOR076C"
"1770720_at"	"YLR020C"
"1770721_at"	"YPR062W"
"1770725_at"	"YEL061C"
"1770727_at"	"YLR260W"
"1770730_at"	"YOR209C"
"1770736_at"	"YLR396C"
"1770737_at"	"YMR294W"
"1770739_at"	"YLR166C"
"1770740_at"	"YIL044C"
"1770742_at"	"YOR003W"
"1770743_at"	"YNL233W"
"1770744_at"	"YKL035W"
"1770746_at"	"YGL057C"
"1770747_at"	"YOL061W"
"1770748_at"	"YKL053C-A"
"1770749_at"	"YER124C"
"1770750_at"	"YBL068W"
"1770751_at"	"YPL272C"
"1770753_at"	"YDR099W"
"1770754_at"	"YMR318C"
"1770758_at"	"YGL153W"
"1770759_at"	"YKR088C"
"1770760_at"	"YGR168C"
"1770764_at"	"YDL199C"
"1770765_at"	"YKL045W"
"1770766_at"	"YIL009C-A"
"1770767_at"	"YFL030W"
"1770768_at"	"YER139C"
"1770773_at"	"YKL015W"
"1770776_at"	"YER019C-A"
"1770777_at"	"YPR187W"
"1770778_at"	"YCL039W"
"1770780_at"	"YCL037C"
"1770783_at"	"YLR139C"
"1770785_at"	"YPR193C"
"1770788_at"	"YOR319W"
"1770790_at"	"YHR149C"
"1770791_at"	"YNL263C"
"1770792_at"	"YLR237W"
"1770793_at"	"YLR454W"
"1770795_at"	"YKL162C"
"1770797_at"	"YDR100W"
"1770799_at"	"YDR322C-A"
"1770802_at"	"YGL094C"
"1770806_at"	"YPL245W"
"1770808_at"	"YHR036W"
"1770809_at"	"YPR174C"
"1770812_at"	"YJL056C"
"1770816_at"	"YML065W"
"1770817_at"	"YMR282C"
"1770818_at"	"YAL017W"
"1770820_at"	"YOL097C"
"1770821_at"	"YKR087C"
"1770824_at"	"YOR341W"
"1770825_at"	"YJL083W"
"1770828_at"	"YKL002W"
"1770829_at"	"YCR075W-A"
"1770832_at"	"YDR364C"
"1770834_at"	"YKL089W"
"1770835_at"	"YJR083C"
"1770836_at"	"YLR433C"
"1770837_at"	"YGR266W"
"1770839_at"	"YOR174W"
"1770841_at"	"YHR129C"
"1770843_at"	"YOL015W"
"1770848_at"	"YKL191W"
"1770850_at1"	"YHR214C-D"
"1770850_at2"	"YAR069C"
"1770851_at"	"YKR101W"
"1770852_at"	"YER093C"
"1770854_at"	"YAL001C"
"1770855_at"	"YMR156C"
"1770856_at"	"YDR090C"
"1770858_at"	"YFR033C"
"1770859_at"	"YGR287C"
"1770861_at"	"YJL109C"
"1770862_at"	"YPL204W"
"1770863_at"	"YDR137W"
"1770864_at"	"YPL153C"
"1770865_at"	"YER149C"
"1770867_at"	"YDL237W"
"1770868_at"	"YLR275W"
"1770871_at"	"YBR135W"
"1770876_at"	"YDL148C"
"1770878_at"	"YOR144C"
"1770879_at"	"YDR381C-A"
"1770882_at"	"YMR142C"
"1770883_at"	"YOR228C"
"1770884_s_at"	"YDL229W"
"1770885_at"	"YDR387C"
"1770886_at"	"YLR030W"
"1770887_at"	"YKL187C"
"1770888_at"	"YKL039W"
"1770889_at"	"YLL040C"
"1770890_at"	"YML008C"
"1770891_at"	"YLR165C"
"1770892_at"	"YBR138C"
"1770896_at"	"YPL115C"
"1770897_x_at"	"YFL020C"
"1770898_at"	"YAL010C"
"1770899_at"	"YNL167C"
"1770900_at"	"YCR091W"
"1770902_at"	"YKL037W"
"1770908_at"	"YML015C"
"1770911_at"	"YIR011C"
"1770913_at"	"YGR240C-A"
"1770916_at"	"YBL050W"
"1770917_at"	"YHL030W"
"1770920_at"	"YPL189C-A"
"1770922_at"	"YMR298W"
"1770923_at"	"YOL055C"
"1770924_at"	"YMR132C"
"1770925_at"	"YHR049W"
"1770927_at"	"YJL030W"
"1770928_at"	"YDR325W"
"1770933_at"	"YMR275C"
"1770935_at"	"YJL207C"
"1770936_at"	"YDR363W-A"
"1770938_at"	"YDR038C"
"1770941_at"	"YKL048C"
"1770942_at"	"YPL045W"
